plaatsnaam,gemeente
Amsterdam,Amsterdam
Diemen,Diemen
Amsterdam-Duivendrecht,Ouder-Amstel
Duivendrecht,Ouder-Amstel
Schiphol,Haarlemmermeer
Schiphol-Rijk,Haarlemmermeer
Landsmeer,Landsmeer
Den Ilp,Landsmeer
Volendam,Edam-Volendam
Edam,Edam-Volendam
Monnickendam,Waterland
Katwoude,Waterland
Broek in Waterland,Waterland
Zuiderwoude,Waterland
Uitdam,Waterland
Marken,Waterland
Zwanenburg,Haarlemmermeer
Halfweg,Haarlemmermeer
Badhoevedorp,Haarlemmermeer
Lijnden,Haarlemmermeer
Amstelveen,Amstelveen
Ouderkerk aan de Amstel,Ouder-Amstel
Hilversum,Hilversum
Loosdrecht,Wijdemeren
Kortenhoef,Wijdemeren
's-Graveland,Wijdemeren
Ankeveen,Wijdemeren
Laren,Laren
Blaricum,Blaricum
Huizen,Huizen
Almere,Almere
Weesp,Weesp
Abcoude,De Ronde Venen
Nigtevecht,Stichtse Vecht
Nederhorst den Berg,Wijdemeren
Baambrugge,De Ronde Venen
Muiden,Gooise Meren
Muiderberg,Gooise Meren
Bussum,Gooise Meren
Naarden,Gooise Meren
Uithoorn,Uithoorn
De Kwakel,Uithoorn
de Hoef,De Ronde Venen
Amstelhoek,De Ronde Venen
Vrouwenakker,Nieuwkoop
Aalsmeer,Aalsmeer
Kudelstaart,Aalsmeer
Rijsenhout,Haarlemmermeer
Aalsmeerderbrug,Haarlemmermeer
Rozenburg,Haarlemmermeer
Oude Meer,Haarlemmermeer
Purmerend,Purmerend
Purmerland,Landsmeer
Ilpendam,Waterland
Watergang,Waterland
Wijdewormer,Wormerland
Westbeemster,Beemster
Zuidoostbeemster,Beemster
Middenbeemster,Beemster
Noordbeemster,Beemster
Kwadijk,Edam-Volendam
Middelie,Edam-Volendam
Warder,Edam-Volendam
Oosthuizen,Edam-Volendam
Beets,Edam-Volendam
Schardam,Edam-Volendam
Hobrede,Edam-Volendam
Purmer,Edam-Volendam
Purmer,Waterland
De Rijp,Alkmaar
Graft,Alkmaar
Noordeinde,Alkmaar
West-Graftdijk,Alkmaar
Oost-Graftdijk,Alkmaar
Starnmeer,Alkmaar
de Woude,Castricum
Zaandam,Zaanstad
Oostzaan,Oostzaan
Wormerveer,Zaanstad
Westknollendam,Zaanstad
Wormer,Wormerland
Oostknollendam,Wormerland
Markenbinnen,Alkmaar
Koog aan de Zaan,Zaanstad
Zaandijk,Zaanstad
Jisp,Wormerland
Westzaan,Zaanstad
Krommenie,Zaanstad
Assendelft,Zaanstad
Enkhuizen,Enkhuizen
Venhuizen,Drechterland
Hem,Drechterland
Wijdenes,Drechterland
Oosterleek,Drechterland
Bovenkarspel,Stede Broec
Grootebroek,Stede Broec
Lutjebroek,Stede Broec
Hoogkarspel,Drechterland
Westwoud,Drechterland
Andijk,Medemblik
Hoorn,Hoorn
Oudendijk,Koggenland
Avenhorn,Koggenland
Scharwoude,Koggenland
Schermerhorn,Alkmaar
Spierdijk,Koggenland
Ursem,Koggenland
Ursem,Alkmaar
Berkhout,Koggenland
De Goorn,Koggenland
Zuidermeer,Koggenland
Benningbroek,Medemblik
Sijbekarspel,Medemblik
Abbekerk,Medemblik
Lambertschaag,Medemblik
De Weere,Opmeer
Medemblik,Medemblik
Opperdoes,Medemblik
Twisk,Medemblik
Oostwoud,Medemblik
Midwoud,Medemblik
Zwaagdijk-Oost,Medemblik
Zwaagdijk-West,Medemblik
Wognum,Medemblik
Nibbixwoud,Medemblik
Zwaag,Hoorn
